Game_Date,Home_Team,Away_Team,Halftime_Score_Home,Halftime_Score_Away,Final_Score_Home,Final_Score_Away,Game_URL
2024,Las Vegas Aces,New York Liberty,43,45,82,90,https://www.basketball-reference.com/wnba/boxscores/202406150LVA.html
2024,Atlanta Dream,Los Angeles Sparks,45,40,87,74,https://www.basketball-reference.com/wnba/boxscores/202406160ATL.html
2024,Indiana Fever,Chicago Sky,47,43,91,83,https://www.basketball-reference.com/wnba/boxscores/202406160IND.html
2024,Phoenix Mercury,Seattle Storm,47,33,87,78,https://www.basketball-reference.com/wnba/boxscores/202406160PHO.html
2024,Minnesota Lynx,Dallas Wings,43,39,90,78,https://www.basketball-reference.com/wnba/boxscores/202406170MIN.html
2024,Connecticut Sun,Los Angeles Sparks,39,28,79,70,https://www.basketball-reference.com/wnba/boxscores/202406180CON.html
2024,Phoenix Mercury,New York Liberty,50,46,99,93,https://www.basketball-reference.com/wnba/boxscores/202406180PHO.html
2024,Indiana Fever,Washington Mystics,46,43,88,81,https://www.basketball-reference.com/wnba/boxscores/202406190IND.html
2024,Las Vegas Aces,Seattle Storm,47,32,94,83,https://www.basketball-reference.com/wnba/boxscores/202406190LVA.html
2024,Minnesota Lynx,Atlanta Dream,35,30,68,55,https://www.basketball-reference.com/wnba/boxscores/202406190MIN.html
2024,Chicago Sky,Dallas Wings,42,25,83,72,https://www.basketball-reference.com/wnba/boxscores/202406200CHI.html
2024,New York Liberty,Los Angeles Sparks,43,36,93,80,https://www.basketball-reference.com/wnba/boxscores/202406200NYL.html
2024,Atlanta Dream,Indiana Fever,41,57,79,91,https://www.basketball-reference.com/wnba/boxscores/202406210ATL.html
2024,Las Vegas Aces,Connecticut Sun,45,28,85,74,https://www.basketball-reference.com/wnba/boxscores/202406210LVA.html
2024,Minnesota Lynx,Phoenix Mercury,38,25,73,60,https://www.basketball-reference.com/wnba/boxscores/202406220MIN.html
2024,New York Liberty,Los Angeles Sparks,54,44,98,88,https://www.basketball-reference.com/wnba/boxscores/202406220NYL.html
2024,Washington Mystics,Dallas Wings,51,34,97,69,https://www.basketball-reference.com/wnba/boxscores/202406220WAS.html
2024,Atlanta Dream,New York Liberty,38,62,75,96,https://www.basketball-reference.com/wnba/boxscores/202406230ATL.html
2024,Chicago Sky,Indiana Fever,45,46,88,87,https://www.basketball-reference.com/wnba/boxscores/202406230CHI.html
2024,Seattle Storm,Connecticut Sun,34,31,72,61,https://www.basketball-reference.com/wnba/boxscores/202406230SEA.html
2024,Washington Mystics,Dallas Wings,46,51,92,84,https://www.basketball-reference.com/wnba/boxscores/202406230WAS.html
2024,Chicago Sky,Las Vegas Aces,39,46,83,95,https://www.basketball-reference.com/wnba/boxscores/202406270CHI.html
2024,Dallas Wings,Minnesota Lynx,43,45,94,88,https://www.basketball-reference.com/wnba/boxscores/202406270DAL.html
2024,Seattle Storm,Indiana Fever,53,39,89,77,https://www.basketball-reference.com/wnba/boxscores/202406270SEA.html
2024,Washington Mystics,Connecticut Sun,50,46,91,94,https://www.basketball-reference.com/wnba/boxscores/202406270WAS.html
