game_id,league,comeback_team_cbt,opponent_team_opp,game_date,media_outlet,url_of_article,headline,author_written,player_quotes,coach_quotes,c_att_ind_resilience,o_att_ind_resilience,c_att_self_efficacy,o_att_self_efficacy,c_att_team_efficacy_cohesion,o_att_team_efficacy_cohesion,c_att_verbal_persuasion,o_att_verbal_persuasion,c_att_emotional_reg,o_att_emotional_reg,c_aft_momentum_lang,o_aft_momentum_lang,c_aft_draining_lang,o_aft_draining_lang,c_aft_perf_outcome_lang,o_aft_perf_outcome_lang,c_gendered_lang,o_gendered_lang,cbt_psych_score,opp_psych_score,cbt_after_score,opp_after_score,snippet_count,media_outlet_grouped
nba_05,NBA,Los Angeles Clippers,Cleveland Cavaliers,04-07-2024,Los Angeles Times,https://www.latimes.com/sports/clippers/story/2024-04-07/los-angeles-clippers-cleveland-cavaliers-nba-game-recap,Paul George leads Clippers to big comeback win over Cavaliers,16,12,2,7,0,2,0,12,0,0,0,0,0,2,0,0,0,14,1,0,0,21,0,16,1,38,Other
nba_05,NBA,Los Angeles Clippers,Cleveland Cavaliers,04-07-2024,SI,https://www.si.com/nba/clippers/paul-george-statement-comeback-cavaliers,Paul George's Statement After Comeback Win vs. Cavaliers,9,7,0,3,0,1,0,7,0,2,0,0,0,2,0,0,0,10,0,0,0,13,0,12,0,25,SI
nba_06,NBA,Portland Trail Blazers,Washington Wizards,02-03-2023,Blazers Edge,https://www.blazersedge.com/2023/2/3/23585311/portland-trail-blazers-washington-wizards-final-score-stats-boxscore-simons-lillard-beal-porzingis,Anfernee Simons Threes Launch Trail Blazers Comeback Over Wizards,54,0,0,14,2,0,0,6,1,1,1,1,0,6,5,0,1,23,11,0,0,22,4,29,17,72,Other
nba_06,NBA,Portland Trail Blazers,Washington Wizards,02-03-2023,ESPN,https://www.espn.com/nba/recap/_/gameId/401468942,Blazers rally from 20 down to end Wizards' win streak,25,1,4,3,0,0,0,7,0,2,0,0,0,6,1,0,0,18,7,0,0,12,0,24,8,44,ESPN
nba_06,NBA,Portland Trail Blazers,Washington Wizards,02-03-2023,NBA,https://www.nba.com/blazers/news/trendon-watford-mvp-of-the-trip-sparks-comeback-win-versus-wiz,"Trendon Watford, 'MVP Of The Trip,' Sparks Comeback Win Versus Wiz",26,22,13,14,0,3,0,13,0,19,0,0,0,6,1,0,0,22,2,0,0,49,0,28,3,80,Other
nba_06,NBA,Portland Trail Blazers,Washington Wizards,02-03-2023,SI,https://www.si.com/nba/wizards/news/beal-porzingis-combine-for-66-points-vs-blazers,"Beal, Porzingis Combine For 66 Points Vs. Blazers",7,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,1,3,3,0,0,3,1,3,4,11,SI
wnba_01,WNBA,Chicago Sky,New York Liberty,06-04-2023,Bleacher Nation,https://www.bleachernation.com/bulls/2023/06/05/the-chicago-sky-had-an-insanely-awesome-comeback-win-yesterday/,The Chicago Sky Had an Insanely Awesome Comeback Win Yesterday,26,0,0,2,0,0,0,5,0,0,0,0,0,2,1,0,0,14,6,0,0,7,0,16,7,30,Other
wnba_01,WNBA,Chicago Sky,New York Liberty,06-04-2023,ESPN,https://www.espn.com/wnba/recap/_/gameId/401507162,"Copper, Williams help Chicago rally from 19-down to beat New York 86-82",16,2,5,5,1,0,0,5,1,0,1,1,0,6,2,0,1,9,8,0,0,11,3,15,11,40,ESPN
wnba_01,WNBA,Chicago Sky,New York Liberty,06-04-2023,Swish Appeal,https://www.swishappeal.com/wnba/2023/6/4/23748661/wnba-chicago-sky-new-york-liberty-kahleah-copper-courtney-williams-marina-mabrey-james-wade-stewart,"Recap: Incredible stretches in third and fourth allow for 19-point Sky comeback, revenge on Liberty",50,0,0,5,1,0,0,9,6,2,0,0,0,7,4,0,3,21,21,0,0,16,7,28,28,79,Other
wnba_02,WNBA,Las Vegas Aces,Chicago Sky,08-24-2023,ESPN,https://www.espn.com/wnba/recap/_/gameId/401507329,Three Aces secure double-doubles as Las Vegas rallies to defeat the Sky 94-87,12,0,0,4,1,0,0,2,1,0,0,0,0,4,1,0,0,9,4,0,0,6,2,13,5,26,ESPN
wnba_02,WNBA,Las Vegas Aces,Chicago Sky,08-24-2023,ESPN,https://www.espn.com/wnba/story/_/id/38254961/aces-set-wnba-single-season-wins-record-30th-victory,Aces set WNBA single-season wins record with 30th victory,17,0,0,4,1,0,0,3,0,0,0,0,0,3,1,0,0,13,3,0,0,7,1,16,4,28,ESPN
wnba_02,WNBA,Las Vegas Aces,Chicago Sky,08-24-2023,NYT Athletic,https://www.nytimes.com/athletic/4804790/2023/08/24/aces-wnba-regular-season-wins-record/,Aces set WNBA regular-season wins record with victory over Sky,20,2,0,1,0,0,0,2,0,0,0,0,0,3,0,0,0,16,0,0,0,3,0,19,0,22,NYT Athletic
wnba_02,WNBA,Las Vegas Aces,Chicago Sky,08-24-2023,Las Vegas Review-Journal,https://www.reviewjournal.com/sports/aces/aces-set-single-season-wins-record-all-star-shines-on-birthday-2893842/,Aces set single-season wins record; All-Star shines on birthday,25,7,3,5,0,2,0,4,0,2,0,2,0,3,0,0,0,19,2,0,0,15,0,22,2,39,Other
wnba_03,WNBA,Los Angeles Sparks,Atlanta Dream,08-25-2023,WNBA,https://dream.wnba.com/news/the-atlanta-dream-drop-game-to-surging-sparks,The Atlanta Dream Drop Game To Surging Sparks,34,4,5,2,1,0,0,0,4,0,0,0,1,3,0,0,9,9,22,0,0,2,6,12,31,51,WNBA
wnba_03,WNBA,Los Angeles Sparks,Atlanta Dream,08-25-2023,ESPN,https://www.espn.com/wnba/recap/_/gameId/401507331,Nneka Ogwumike has 100th career double-double to rally Sparks past Dream 83-78 for 6th straight win,13,0,0,5,0,0,0,3,0,0,0,0,0,3,2,0,1,5,8,0,0,8,0,8,11,27,ESPN
wnba_03,WNBA,Los Angeles Sparks,Atlanta Dream,08-25-2023,The Sporting Tribune,https://www.thesportingtribune.com/2024/03/08/sparks-make-it-6-straight-wins-after-beating-atlanta-dream,Sparks make it 6 straight wins after beating Atlanta,41,6,1,8,1,0,0,7,0,0,0,4,0,6,0,0,3,21,10,0,0,19,1,27,13,60,Other
wnba_04,WNBA,Las Vegas Aces,Connecticut Sun,09-06-2024,Hartford Courant,https://www.courant.com/2024/09/06/second-half-struggles-doom-connecticut-sun-in-72-67-loss-vs-las-vegas-aces-aja-wilson/,"Second-half struggles doom Connecticut Sun in 72-67 loss vs. Las Vegas Aces, A’ja Wilson",27,0,8,6,7,0,0,1,4,0,2,0,1,4,2,0,6,8,14,0,0,7,14,12,22,55,Other
wnba_04,WNBA,Las Vegas Aces,Connecticut Sun,09-06-2024,ESPN,https://www.espn.com/wnba/recap/_/gameId/401620420,"Kelsey Plum, A'ja Wilson rally Aces to 4th straight victory, 72-67 over Sun",39,3,3,7,1,0,0,11,2,1,0,0,0,7,1,0,0,23,11,0,0,19,3,30,12,64,ESPN
wnba_05,WNBA,Atlanta Dream,Seattle Storm,08-16-2024,WNBA,https://dream.wnba.com/news/dream-weather-the-storm-in-83-81-win-over-seattle,Dream weather the Storm in 83-81 win over Seattle,12,3,4,5,1,2,0,4,0,4,0,0,0,1,0,0,0,12,1,0,0,15,1,13,1,30,WNBA
wnba_05,WNBA,Atlanta Dream,Seattle Storm,08-16-2024,ESPN,https://www.espn.com/wnba/recap/_/gameId/401620369,"Rhyne Howard scores 30, Tina Charles hits winning shot as Dream beat Storm 83-81",13,0,0,6,2,0,0,1,0,0,0,0,0,4,0,0,0,7,6,0,0,7,2,11,6,26,ESPN
wnba_05,WNBA,Atlanta Dream,Seattle Storm,08-16-2024,SB Nation,https://www.sbnation.com/wnba/2024/8/17/24222217/rhyne-howard-tina-charles-atlanta-dream-seattle-storm-wnba-game-scores-skylar-diggins-smith,"Rhyne Howard dominates, Tina Charles hits game-winner in Dream win over Storm",18,5,2,7,3,3,0,1,0,3,2,0,0,0,0,0,0,12,3,0,0,14,5,12,3,34,Other
wnba_06,WNBA,Indiana Fever,Los Angeles Sparks,05-24-2024,Yahoo Sports,https://sports.yahoo.com/caitlin-clark-lands-dagger-for-first-career-wnba-win-after-0-5-start-040946680.html,Caitlin Clark lands dagger for first career WNBA win after 0-5 start,14,0,0,6,0,0,0,1,0,0,0,1,0,1,0,0,0,11,2,0,0,8,0,12,2,22,Other
wnba_06,WNBA,Indiana Fever,Los Angeles Sparks,05-24-2024,Indianapolis Star,https://www.indystar.com/story/sports/basketball/wnba/fever/2024/05/24/indiana-fever-caitlin-clark-vs-l-a-sparks-score-updates-highlights/73839521007/,Game recap: Fever pick up first win of Caitlin Clark era with second-half rally,51,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,2,33,16,0,0,7,0,36,18,61,Other
wnba_06,WNBA,Indiana Fever,Los Angeles Sparks,05-24-2024,NYT Athletic,https://www.nytimes.com/athletic/5518772/2024/05/25/caitlin-clark-fever-sparks-takeaways/,Caitlin Clark hits final-minute 3 to lift Fever past Sparks for first win of season,24,2,2,5,0,1,0,13,0,3,0,0,0,1,0,0,0,14,1,0,0,22,0,15,1,38,NYT Athletic
